Episode,Winrate
100,0.62
200,0.55
300,0.57
400,0.65
500,0.65
600,0.61
700,0.72
800,0.63
900,0.73
1000,0.57
1100,0.63
1200,0.68
1300,0.7
1400,0.7
1500,0.64
1600,0.65
1700,0.67
1800,0.62
1900,0.64
2000,0.71
2100,0.72
2200,0.56
2300,0.67
2400,0.68
2500,0.62
2600,0.64
2700,0.79
2800,0.73
2900,0.7
3000,0.77
3100,0.62
3200,0.65
3300,0.72
3400,0.74
3500,0.73
3600,0.71
3700,0.64
3800,0.68
3900,0.68
4000,0.76
4100,0.67
4200,0.7
4300,0.66
4400,0.69
4500,0.65
4600,0.67
4700,0.66
4800,0.61
4900,0.75
5000,0.69
5100,0.69
5200,0.62
5300,0.73
5400,0.59
5500,0.74
5600,0.69
5700,0.8
5800,0.69
5900,0.65
6000,0.7
6100,0.71
6200,0.68
6300,0.71
6400,0.75
6500,0.61
6600,0.6
6700,0.69
6800,0.71
6900,0.68
7000,0.71
7100,0.73
7200,0.78
7300,0.72
7400,0.73
7500,0.75
7600,0.7
7700,0.72
7800,0.77
7900,0.72
8000,0.66
8100,0.67
8200,0.69
8300,0.73
8400,0.66
8500,0.73
8600,0.71
8700,0.76
8800,0.67
8900,0.7
9000,0.73
9100,0.69
9200,0.7
9300,0.7
9400,0.69
9500,0.7
9600,0.77
9700,0.6
9800,0.79
9900,0.66
10000,0.69
10100,0.64
10200,0.71
10300,0.69
10400,0.71
10500,0.72
10600,0.76
10700,0.79
10800,0.69
10900,0.78
11000,0.81
11100,0.78
11200,0.65
11300,0.78
11400,0.63
11500,0.7
11600,0.8
11700,0.76
11800,0.77
11900,0.75
12000,0.67
12100,0.78
12200,0.71
12300,0.67
12400,0.74
12500,0.65
12600,0.77
12700,0.7
12800,0.75
12900,0.77
13000,0.62
13100,0.78
13200,0.69
13300,0.72
13400,0.79
13500,0.76
13600,0.67
13700,0.74
13800,0.63
13900,0.79
14000,0.77
14100,0.71
14200,0.67
14300,0.66
14400,0.71
14500,0.71
14600,0.73
14700,0.76
14800,0.74
14900,0.77
15000,0.72
15100,0.75
15200,0.75
15300,0.7
15400,0.71
15500,0.73
15600,0.76
15700,0.7
15800,0.73
15900,0.65
16000,0.71
16100,0.64
16200,0.71
16300,0.74
16400,0.73
16500,0.77
16600,0.75
16700,0.73
16800,0.74
16900,0.81
17000,0.71
17100,0.75
17200,0.68
17300,0.71
17400,0.69
17500,0.65
17600,0.75
17700,0.68
17800,0.78
17900,0.74
18000,0.73
