Episode,Reward
100,73.3885
200,57.2267
300,40.2214
400,54.5923
500,56.5619
600,64.6954
700,42.5629
800,27.6803
900,39.0533
1000,45.013
1100,24.6262
1200,36.7244
1300,28.0167
1400,32.3809
1500,40.9321
1600,23.1211
1700,29.9917
1800,29.5209
1900,34.8328
2000,18.5074
2100,32.1247
2200,53.1436
2300,31.1379
2400,16.5555
2500,26.8853
2600,34.9979
2700,28.2543
2800,11.9085
2900,24.7836
3000,36.6586
3100,33.1006
3200,22.2945
3300,19.267
3400,11.8938
3500,36.4739
3600,27.629
3700,24.33
3800,26.8168
3900,33.0868
4000,25.618
4100,27.3828
4200,25.2779
4300,21.0925
4400,24.7037
4500,18.787
4600,14.9735
4700,25.2177
4800,30.5482
4900,13.2804
5000,28.1754
5100,20.7706
5200,20.8631
5300,17.1902
5400,11.5807
5500,20.9389
5600,33.0517
5700,31.9516
5800,16.9566
5900,25.0982
6000,17.4984
6100,20.1305
6200,18.9763
6300,23.0099
6400,21.7091
6500,24.6199
6600,27.4093
6700,15.1526
6800,18.8586
6900,28.8366
7000,19.1896
7100,16.8354
7200,23.4535
7300,11.7149
7400,15.8192
7500,6.09836
7600,15.263
7700,13.3394
7800,20.8926
7900,11.2189
8000,14.5499
8100,20.433
8200,21.8891
8300,23.9496
8400,19.8891
8500,15.8377
8600,20.6302
8700,15.3402
8800,16.5552
8900,12.1028
9000,14.319
9100,21.5801
9200,16.4534
9300,15.16
9400,7.82269
9500,21.499
9600,0.837181
9700,12.6817
9800,19.9791
9900,20.7064
10000,19.0783
10100,18.3991
10200,22.3624
10300,9.6316
10400,17.5253
10500,18.3767
10600,7.57225
10700,20.6088
10800,9.50115
10900,19.7084
11000,16.8838
11100,12.7697
11200,24.4097
11300,9.81699
11400,14.7171
11500,17.0987
11600,7.10969
11700,8.19164
11800,7.14029
11900,17.5405
12000,33.4574
12100,8.49372
12200,4.76429
12300,13.3334
12400,10.2511
12500,8.653
12600,11.3608
12700,8.50913
12800,18.9446
12900,12.391
13000,21.1343
13100,5.89676
13200,9.36799
13300,11.1997
13400,8.57621
13500,11.7116
13600,8.70329
13700,13.1717
13800,7.85306
13900,4.67248
14000,7.64846
14100,3.66781
14200,11.1362
14300,9.40665
14400,6.59762
14500,8.77645
14600,12.5636
14700,10.0443
14800,12.6971
14900,12.0541
15000,4.55115
15100,16.8224
15200,5.66603
15300,3.7146
15400,7.68047
15500,3.96789
15600,4.81051
15700,11.6907
15800,8.8299
15900,11.6595
16000,15.2986
16100,7.33641
16200,12.9091
16300,12.575
16400,11.7526
16500,8.99164
16600,9.98927
16700,6.01871
16800,10.9493
16900,8.52456
17000,8.98703
17100,11.1862
17200,10.3355
17300,12.7948
17400,11.9834
17500,5.48143
17600,14.3209
17700,2.31022
17800,8.37345
17900,3.36335
18000,13.9302
18100,14.254
18200,1.27923
18300,4.13815
18400,7.75679
18500,12.4534
18600,12.6675
18700,1.60893
18800,7.96799
18900,10.018
19000,-0.272415
19100,11.0318
19200,5.35349
19300,3.1172
19400,8.0379
19500,1.43907
19600,11.209
19700,12.4678
19800,6.91617
19900,6.71576
20000,6.92347
20100,4.48925
20200,6.55639
20300,7.58399
20400,3.25499
20500,6.40538
20600,5.08961
20700,5.05239
20800,8.80082
20900,4.44054
21000,3.09721
21100,7.33644
21200,7.67447
21300,5.93532
21400,5.02986
21500,3.47826
21600,6.04899
21700,9.43965
21800,5.96037
21900,1.7488
22000,7.6404
22100,1.29796
22200,5.96623
22300,-0.480419
22400,2.32965
22500,6.23382
22600,6.59986
22700,5.59997
22800,8.21033
22900,2.81981
23000,-2.25204
23100,12.3005
23200,4.36489
23300,8.62255
23400,6.94659
23500,4.65072
23600,6.06721
23700,6.86756
23800,2.57156
23900,4.61361
24000,4.80643
24100,2.2638
24200,3.52522
24300,8.11843
24400,8.46647
24500,10.6875
24600,4.4076
24700,0.658564
24800,3.97974
24900,3.45148
25000,5.215
25100,7.55893
25200,6.42677
25300,2.14023
25400,0.140418
25500,2.03111
25600,7.00194
25700,2.08922
25800,1.11725
25900,1.10105
26000,2.78668
26100,7.70165
26200,4.33688
26300,5.8807
26400,4.31317
26500,3.06444
26600,6.5857
26700,2.6479
26800,2.71778
26900,4.85111
27000,0.0413096
27100,2.1148
27200,8.05241
27300,4.47662
27400,1.80075
27500,1.71448
27600,4.2624
27700,4.80632
27800,5.06594
27900,5.41058
28000,3.47511
28100,-2.34896
28200,4.87041
28300,0.193481
28400,-0.622409
28500,2.72067
28600,4.14071
28700,4.07262
28800,3.22977
28900,3.67719
29000,-1.78157
29100,-0.231957
29200,0.343678
29300,3.31124
29400,4.68333
29500,1.59863
29600,5.28845
29700,1.84941
29800,5.91844
29900,-3.30644
30000,0.167588
30100,0.636037
30200,5.9406
30300,1.9915
30400,2.48506
30500,3.37248
30600,3.94542
30700,1.58957
30800,2.89428
30900,-0.358863
31000,0.519779
31100,3.65676
31200,1.00035
31300,0.70318
31400,2.62447
31500,2.7528
31600,1.24568
31700,1.81082
31800,0.422269
31900,-1.66441
32000,0.220439
32100,0.311959
32200,-0.436089
32300,0.20399
32400,4.10988
32500,5.2158
32600,0.646046
32700,2.37321
32800,0.689942
32900,0.0586578
33000,1.71716
33100,-1.62158
33200,-0.497188
33300,1.45109
