Episode,Winrate
100,0.54
200,0.56
300,0.53
400,0.64
500,0.67
600,0.7
700,0.62
800,0.65
900,0.62
1000,0.57
1100,0.52
1200,0.62
1300,0.64
1400,0.59
1500,0.67
1600,0.65
1700,0.68
1800,0.66
1900,0.67
2000,0.62
2100,0.66
2200,0.68
2300,0.72
2400,0.65
2500,0.7
2600,0.76
2700,0.76
2800,0.64
2900,0.66
3000,0.73
3100,0.68
3200,0.64
3300,0.7
3400,0.75
3500,0.76
3600,0.72
3700,0.72
3800,0.76
3900,0.7
4000,0.71
4100,0.7
4200,0.71
4300,0.79
4400,0.69
4500,0.67
4600,0.73
4700,0.74
4800,0.73
4900,0.62
5000,0.76
5100,0.75
5200,0.8
5300,0.78
5400,0.69
5500,0.76
5600,0.72
5700,0.8
5800,0.76
5900,0.76
6000,0.76
6100,0.79
6200,0.75
6300,0.77
6400,0.82
6500,0.65
6600,0.79
6700,0.77
6800,0.75
6900,0.82
7000,0.79
7100,0.75
7200,0.72
7300,0.77
7400,0.71
7500,0.75
7600,0.76
7700,0.78
7800,0.76
7900,0.78
8000,0.72
8100,0.84
8200,0.82
8300,0.82
8400,0.8
8500,0.76
8600,0.79
8700,0.83
8800,0.8
8900,0.82
9000,0.79
9100,0.82
9200,0.82
9300,0.8
9400,0.8
9500,0.86
9600,0.69
9700,0.76
9800,0.82
9900,0.82
10000,0.84
10100,0.78
10200,0.89
10300,0.82
10400,0.83
10500,0.8
10600,0.78
10700,0.79
10800,0.77
10900,0.87
11000,0.74
11100,0.82
11200,0.83
11300,0.8
11400,0.82
11500,0.85
11600,0.78
11700,0.78
11800,0.79
11900,0.82
12000,0.87
12100,0.87
12200,0.8
12300,0.86
12400,0.86
12500,0.84
12600,0.79
12700,0.87
12800,0.87
12900,0.86
13000,0.93
13100,0.86
13200,0.82
13300,0.82
13400,0.9
13500,0.8
13600,0.81
13700,0.87
13800,0.85
13900,0.8
14000,0.84
14100,0.78
14200,0.84
14300,0.8
14400,0.86
14500,0.84
14600,0.84
14700,0.81
14800,0.87
14900,0.85
15000,0.77
15100,0.87
15200,0.8
15300,0.84
15400,0.88
15500,0.83
15600,0.81
15700,0.86
15800,0.85
15900,0.85
16000,0.9
16100,0.87
16200,0.87
16300,0.91
16400,0.85
16500,0.85
16600,0.89
16700,0.89
16800,0.89
16900,0.91
17000,0.9
17100,0.88
17200,0.91
17300,0.87
17400,0.87
17500,0.81
17600,0.91
17700,0.81
17800,0.85
17900,0.83
18000,0.89
18100,0.93
18200,0.83
18300,0.87
18400,0.87
18500,0.84
18600,0.88
18700,0.84
18800,0.91
18900,0.93
19000,0.81
19100,0.91
19200,0.84
19300,0.85
19400,0.87
19500,0.89
19600,0.9
19700,0.93
19800,0.88
19900,0.85
20000,0.83
20100,0.85
20200,0.94
20300,0.89
20400,0.88
20500,0.93
20600,0.88
20700,0.85
20800,0.92
20900,0.89
21000,0.9
21100,0.9
21200,0.93
21300,0.83
21400,0.89
21500,0.92
21600,0.89
21700,0.92
21800,0.95
21900,0.91
22000,0.95
22100,0.89
22200,0.92
22300,0.87
22400,0.94
22500,0.92
22600,0.94
22700,0.89
22800,0.96
22900,0.9
23000,0.88
23100,0.89
23200,0.87
23300,0.95
23400,0.94
23500,0.89
23600,0.93
23700,0.88
23800,0.93
23900,0.93
24000,0.9
24100,0.89
24200,0.94
24300,0.96
24400,0.91
24500,0.93
24600,0.94
24700,0.92
24800,0.92
24900,0.93
25000,0.93
25100,0.94
25200,0.92
25300,0.95
25400,0.91
25500,0.89
25600,0.94
25700,0.93
25800,0.92
25900,0.9
26000,0.95
26100,0.96
26200,0.91
26300,0.96
26400,0.96
26500,0.94
26600,0.97
26700,0.96
26800,0.93
26900,0.95
27000,0.91
27100,0.95
27200,0.98
27300,0.98
27400,0.95
27500,0.98
27600,0.96
27700,0.95
27800,0.97
27900,0.95
28000,0.96
28100,0.89
28200,0.96
28300,0.97
28400,0.94
28500,0.98
28600,0.97
28700,0.95
28800,0.96
28900,0.95
29000,0.91
29100,0.95
29200,0.94
29300,0.92
29400,0.96
29500,0.96
29600,0.99
29700,0.95
29800,0.97
29900,0.9
30000,0.93
30100,0.94
30200,0.97
30300,0.98
30400,0.99
30500,0.95
30600,0.96
30700,0.97
30800,0.96
30900,0.95
31000,0.96
31100,0.99
31200,0.99
31300,0.95
31400,0.98
31500,0.99
31600,0.99
31700,0.99
31800,0.97
31900,0.93
32000,0.96
32100,0.97
32200,0.97
32300,0.96
32400,1
32500,0.96
32600,0.96
32700,0.98
32800,0.99
32900,0.98
33000,0.99
33100,0.95
33200,0.96
33300,0.98
33400,0.98
33500,0.98
33600,0.98
33700,0.99
33800,0.99
33900,1
34000,0.96
34100,0.99
34200,0.96
34300,0.96
34400,1
34500,0.99
34600,0.97
34700,1
34800,0.97
34900,0.99
35000,0.98
35100,0.99
35200,0.99
35300,0.98
35400,0.98
35500,0.99
35600,0.98
35700,0.98
35800,0.97
35900,0.98
36000,0.96
36100,0.97
36200,0.99
36300,1
36400,0.98
36500,0.96
36600,1
36700,0.98
36800,0.99
36900,0.97
37000,0.99
37100,0.99
37200,0.96
37300,0.98
37400,0.96
37500,0.98
37600,1
37700,0.96
37800,0.97
37900,0.98
38000,0.99
38100,1
38200,0.97
38300,0.98
38400,0.97
38500,1
38600,1
38700,1
38800,1
38900,0.99
39000,0.99
39100,0.99
39200,0.98
39300,0.98
39400,1
39500,0.98
39600,1
39700,1
39800,0.98
39900,0.97
40000,0.97
40100,0.99
40200,0.99
40300,0.99
40400,0.95
40500,0.97
40600,0.95
40700,0.99
40800,1
40900,0.97
41000,0.94
41100,0.99
41200,0.98
41300,0.98
41400,0.96
41500,0.99
41600,0.99
41700,0.99
41800,0.95
41900,0.99
42000,0.98
42100,0.97
42200,0.95
42300,0.98
42400,0.96
42500,0.97
42600,0.97
42700,0.97
42800,0.97
42900,1
43000,0.96
43100,0.98
43200,0.99
43300,0.97
43400,0.99
43500,0.96
43600,0.99
43700,0.99
43800,0.98
43900,0.95
44000,0.99
44100,0.99
44200,0.97
44300,0.98
44400,0.99
44500,0.96
44600,1
44700,0.99
44800,0.96
44900,1
45000,0.99
45100,0.97
45200,1
45300,0.93
45400,0.97
45500,0.99
45600,0.99
45700,0.98
45800,0.98
45900,0.98
46000,0.97
46100,0.97
46200,0.96
46300,0.98
46400,0.98
46500,0.96
46600,0.98
46700,0.97
46800,0.96
46900,0.99
47000,0.99
47100,0.98
47200,1
47300,0.99
47400,1
47500,0.99
47600,0.99
47700,0.96
47800,0.97
47900,0.99
48000,1
48100,0.98
48200,0.97
48300,0.97
48400,0.98
48500,0.98
48600,0.94
48700,0.95
48800,0.93
48900,0.98
49000,0.97
49100,0.98
49200,0.99
49300,0.99
49400,0.96
49500,0.99
49600,0.98
49700,0.98
49800,1
49900,1
50000,0.99
50100,0.98
50200,0.98
50300,0.98
50400,0.99
50500,0.98
50600,0.99
50700,0.99
50800,0.98
50900,1
51000,0.99
51100,0.97
51200,0.98
51300,0.98
51400,0.98
