Episode,Winrate
100,0.51
200,0.52
300,0.63
400,0.56
500,0.63
600,0.68
700,0.59
800,0.7
900,0.73
1000,0.7
1100,0.68
1200,0.73
1300,0.69
1400,0.76
1500,0.69
1600,0.66
1700,0.63
1800,0.75
1900,0.75
2000,0.77
2100,0.65
2200,0.71
2300,0.65
2400,0.69
2500,0.65
2600,0.73
2700,0.77
2800,0.74
2900,0.67
3000,0.71
3100,0.72
3200,0.68
3300,0.74
3400,0.74
3500,0.74
3600,0.73
3700,0.71
3800,0.67
3900,0.83
4000,0.71
4100,0.76
4200,0.74
4300,0.76
4400,0.74
4500,0.8
4600,0.79
4700,0.79
4800,0.79
4900,0.78
5000,0.73
5100,0.77
5200,0.74
5300,0.82
5400,0.8
5500,0.8
5600,0.71
5700,0.8
5800,0.75
5900,0.71
6000,0.71
6100,0.76
6200,0.81
6300,0.76
6400,0.86
6500,0.78
6600,0.75
6700,0.77
6800,0.72
6900,0.79
7000,0.76
7100,0.76
7200,0.82
7300,0.69
7400,0.77
7500,0.87
7600,0.8
7700,0.73
7800,0.82
7900,0.87
8000,0.78
8100,0.8
8200,0.77
8300,0.78
8400,0.82
8500,0.76
8600,0.8
8700,0.73
8800,0.8
8900,0.8
9000,0.84
9100,0.83
9200,0.77
9300,0.74
9400,0.85
9500,0.8
9600,0.8
9700,0.81
9800,0.8
9900,0.79
10000,0.81
10100,0.83
10200,0.81
10300,0.8
10400,0.81
10500,0.88
10600,0.79
10700,0.79
10800,0.84
10900,0.87
11000,0.77
11100,0.77
11200,0.77
11300,0.81
11400,0.78
11500,0.8
11600,0.84
11700,0.81
11800,0.86
11900,0.85
12000,0.85
12100,0.78
12200,0.77
12300,0.86
12400,0.87
12500,0.86
12600,0.82
12700,0.84
12800,0.8
12900,0.82
13000,0.85
13100,0.84
13200,0.85
13300,0.8
13400,0.81
13500,0.8
13600,0.89
13700,0.82
13800,0.81
13900,0.84
14000,0.85
14100,0.87
14200,0.87
14300,0.81
14400,0.88
14500,0.84
14600,0.91
14700,0.82
14800,0.83
14900,0.88
15000,0.82
15100,0.95
15200,0.84
15300,0.81
15400,0.88
15500,0.82
15600,0.85
15700,0.82
15800,0.88
15900,0.92
16000,0.85
16100,0.91
16200,0.92
16300,0.89
16400,0.86
16500,0.92
16600,0.89
16700,0.85
16800,0.83
16900,0.83
17000,0.84
17100,0.94
17200,0.82
17300,0.88
17400,0.95
17500,0.89
17600,0.86
17700,0.92
17800,0.86
17900,0.83
18000,0.87
18100,0.87
18200,0.87
18300,0.78
18400,0.89
18500,0.91
18600,0.88
18700,0.9
18800,0.86
18900,0.89
19000,0.89
19100,0.84
19200,0.88
19300,0.86
19400,0.9
19500,0.92
19600,0.91
19700,0.91
19800,0.91
19900,0.89
20000,0.91
20100,0.9
20200,0.92
20300,0.84
20400,0.9
20500,0.86
20600,0.81
20700,0.85
20800,0.92
20900,0.89
21000,0.9
21100,0.93
21200,0.9
21300,0.85
21400,0.86
21500,0.89
21600,0.93
21700,0.88
21800,0.92
21900,0.94
22000,0.96
22100,0.92
22200,0.85
22300,0.92
22400,0.94
22500,0.97
22600,0.92
22700,0.88
22800,0.93
22900,0.89
23000,0.95
23100,0.94
23200,0.9
23300,0.91
23400,0.9
